hour_of_day,month,temperature_c,radiation_w_m2,kwh_generated
0,1,-4.745910210582269,0.0,0.0
1,1,-6.733897896810297,0.0,0.0
2,1,-5.588216987090284,0.0,0.0
3,1,-7.444069598804443,0.0,0.0
4,1,-4.940222875155639,0.0,0.0
5,1,-4.824552101438286,0.0,0.0
6,1,-1.7056178817461576,126.09905919778565,1.154332631570185
7,1,-2.1361047750986044,236.39875886250866,2.1285725796462716
8,1,-0.7932346917764626,396.04192192339264,3.844643573474842
9,1,1.6875684521069503,470.18093177184727,4.689546593959131
10,1,4.756696404788669,551.0522723332704,5.0485489838837685
11,1,7.072072502029945,635.3821125549194,5.583526806941323
12,1,4.584397846225479,553.527961356505,5.4106920345126985
13,1,7.495043159265029,560.810882693604,4.786781785886382
14,1,9.285716333134422,496.5553223425732,4.938282562837898
15,1,7.301194501767496,472.61629421205845,4.45823391618378
16,1,5.649016059940283,381.8596364497476,3.7715152928611912
17,1,4.489079544254209,274.020122719672,2.353150041805537
18,1,5.451761418571277,126.45884207890099,1.2386175004221796
19,1,1.4548461801243884,7.413475809181133e-14,6.940109545592119e-16
20,1,-2.38729185145839,0.0,0.0
21,1,-3.2340363540255868,0.0,0.0
22,1,-6.030753665974682,0.0,0.0
23,1,-3.2080624488106277,0.0,0.0
0,1,-3.8691293478916235,0.0,0.0
1,1,-6.673390458128186,0.0,0.0
2,1,-7.3179030483197725,0.0,0.0
3,1,-8.056404919264684,0.0,0.0
4,1,-3.909262583685174,0.0,0.0
5,1,-3.1801236949887164,0.0,0.0
6,1,-4.244318889295567,119.86805141429309,1.1583173814660221
7,1,-1.8867599707900522,263.14023415944524,2.263124546687413
8,1,-1.197506255261599,387.0583762013252,3.6180634006570096
9,1,-0.3051916033418314,476.0777147509735,4.570747032317495
10,1,7.026660284602633,512.3968683545559,5.001463153348783
11,1,6.140054979473526,573.6612853633558,5.0993655045113115
12,1,5.119970905085556,643.5334898726908,6.061122083283579
13,1,8.566229219040878,557.5161333192383,5.1571226035077204
14,1,6.609697576099419,576.2005834099738,5.237454442343063
15,1,5.166740141129999,486.16836489123745,4.760559628632976
16,1,4.393041291500164,371.78506971570187,3.223633927725905
